material,x,y,z,photons,electrons,SL,E
scintillator,0,9,66,False,False,False,False
scintillator,0,10,0,False,False,False,False
scintillator,0,10,1,False,False,False,False
scintillator,0,10,2,False,False,False,False
scintillator,0,10,3,False,False,False,False
scintillator,0,10,4,False,False,False,False
scintillator,0,10,5,False,False,False,False
scintillator,0,10,6,False,False,False,False
scintillator,0,10,7,False,False,False,False
scintillator,0,10,8,False,False,False,False
scintillator,0,10,9,False,False,False,False
scintillator,0,10,10,False,False,False,False
scintillator,0,10,11,False,False,False,False
scintillator,0,10,12,False,False,False,False
scintillator,0,10,13,False,False,False,False
scintillator,0,10,14,False,False,False,False
scintillator,0,10,15,False,False,False,False
scintillator,0,10,16,False,False,False,False
scintillator,0,10,17,False,False,False,False
scintillator,0,10,18,False,False,False,False
scintillator,0,10,19,False,False,False,False
scintillator,0,10,20,False,False,False,False
scintillator,0,10,21,False,False,False,False
scintillator,0,10,22,False,False,False,False
scintillator,0,10,23,False,False,False,False
scintillator,0,10,24,False,False,False,False
scintillator,0,10,25,False,False,False,False
scintillator,0,10,26,False,False,False,False
scintillator,0,10,27,False,False,False,False
scintillator,0,10,28,False,False,False,False
scintillator,0,10,29,False,False,False,False
scintillator,0,10,30,False,False,False,False
scintillator,0,10,31,False,False,False,False
scintillator,0,10,32,False,False,False,False
scintillator,0,10,33,False,False,False,False
scintillator,0,10,34,False,False,False,False
scintillator,0,10,35,False,False,False,False
scintillator,0,10,36,False,False,False,False
scintillator,0,10,37,False,False,False,False
scintillator,0,10,38,False,False,False,False
scintillator,0,10,39,False,False,False,False
scintillator,0,10,40,False,False,False,False
scintillator,0,10,41,False,False,False,False
scintillator,0,10,42,False,False,False,False
scintillator,0,10,43,False,False,False,False
scintillator,0,10,44,False,False,False,False
scintillator,0,10,45,False,False,False,False
scintillator,0,10,46,False,False,False,False
scintillator,0,10,47,False,False,False,False
scintillator,0,10,48,False,False,False,False
scintillator,0,10,49,False,False,False,False
scintillator,0,10,50,False,False,False,False
scintillator,0,10,51,False,False,False,False
scintillator,0,10,52,False,False,False,False
scintillator,0,10,53,False,False,False,False
scintillator,0,10,54,False,False,False,False
scintillator,0,10,55,False,False,False,False
scintillator,0,10,56,False,False,False,False
scintillator,0,10,57,False,False,False,False
scintillator,0,10,58,False,False,False,False
scintillator,0,10,59,False,False,False,False
scintillator,0,10,60,False,False,False,False
